LoanAmount,Income,Fico,Approved
153000,44218.56,787,1
550000,14025,706,1
211500,69000,725,1
171800,95342.76,804,1
145000,52022.04,787,1
206400,67297.44,803,1
252000,52233.96,796,1
157200,109999.8,800,1
442500,91627.2,748,1
356000,157442.52,807,1
369000,96858,773,1
500000,78064.56,772,1
214150,0.12,730,1
170000,84202.08,716,1
301000,119839.44,783,1
430000,105719.88,781,1
140000,38713.92,741,1
321200,76398.36,792,1
264000,66410.28,792,1
138750,63540.96,701,1
223250,79999.92,807,1
667000,58197.36,747,1
187500,167465.16,773,1
199500,39519.96,739,1
350000,70560.72,741,1
150000,37621.08,711,1
357600,75000,731,1
590000,122631.96,755,1
327250,103525.08,755,1
405000,172000.08,770,1
200000,92481,763,1
277600,75843.6,758,1
450000,159998.88,789,1
324000,57999.96,718,1
443350,90140.76,702,1
150000,93121.56,781,1
220000,21486.36,783,1
138750,79006.68,714,1
315832,50815.68,729,1
257400,89439.96,723,1
440700,149403.96,801,1
649750,138942.96,736,1
311355,36151.08,701,1
205000,144383.16,785,1
160000,95742.36,792,1
592000,135000.36,785,1
580150,339254.4,787,1
295500,79747.2,721,1
93750,86700,719,1
75000,110000.04,810,1
263250,118907.28,770,1
330000,130914.12,798,1
324000,75000.12,750,1
280000,227610,771,1
360000,148470.36,808,1
220000,54283.08,778,1
424000,218910,745,1
195000,69595.2,788,1
99900,48865.68,794,1
142500,96710.64,790,1
220000,124155.24,797,1
418000,65499.96,779,1
310000,39624,761,1
90900,21156,803,1
288000,106270.08,809,1
276000,83939.16,726,1
223000,41291.16,723,1
254800,55614,783,1
149500,110730,784,1
340000,117882,790,1
393750,112000.08,795,1
330000,312394.08,784,1
320400,105000,804,1
427400,63816.24,799,1
132500,39553.2,801,1
320000,105000,781,1
220000,67562.52,718,1
206250,85058.28,702,1
228150,89413.32,793,1
453000,125631.96,814,1
311200,119516.76,776,1
184000,97586.28,765,1
210900,68340.12,785,1
260000,216156,791,1
332500,28287.24,799,1
194000,170511.96,760,1
310250,77120.4,806,1
368000,94640.76,794,1
170000,67500.24,803,1
220000,28820.04,798,1
138750,133906.92,779,1
182000,62500.08,788,1
321350,109999.68,756,1
349000,72000,815,1
324000,110000.04,776,1
140000,68500.08,756,1
233600,87000.36,720,1
137250,137189.04,810,1
450000,250554,797,1
322150,107235,752,1
138400,71999.76,761,1
164050,49885.08,796,1
434700,136999.92,748,1
336000,108657,732,1
308000,88753.56,774,1
272000,69449.04,703,1
90000,46695.84,702,1
218400,74030.04,720,1
483215,126845.52,707,1
453100,225000,790,1
212000,32477.28,815,1
128000,137494.92,781,1
212800,53570.4,724,1
248300,248295.12,740,1
574000,151000.08,787,1
121500,144255.96,791,1
265000,65024.16,781,1
446000,60000,771,1
322300,145000.08,789,1
373500,126263.52,789,1
536250,166463.88,750,1
453000,173968.08,784,1
311000,144000,778,1
251200,83180.76,718,1
412000,100591.68,768,1
242250,60323.28,798,1
65600,43680,766,1
470750,69999.72,786,1
453100,124182,782,1
201000,159999.84,765,1
188000,87183.72,764,1
315000,50000.04,799,1
301200,41340,796,1
215000,105574.8,813,1
145000,68776.08,804,1
261600,100437.96,738,1
272000,156774,789,1
359900,80981.76,726,1
453100,115000.08,793,1
226800,72675.24,794,1
141000,30700.8,781,1
230000,69035.16,798,1
200000,122874,803,1
425000,93000,758,1
172500,44500.08,740,1
343000,15367.08,747,1
361000,14028.96,737,1
192350,148092.36,795,1
250000,184999.92,798,1
271200,73008,748,1
210000,49917.24,740,1
500000,140000.04,790,1
210000,33600,776,1
149600,10435.56,812,1
300000,122470.44,810,1
198750,157444.8,801,1
310250,54339.72,746,1
450000,141164.88,763,1
360000,189999.96,740,1
112000,76003.2,756,1
275000,150124.08,779,1
259750,150710.52,779,1
250000,167970,806,1
453100,109715.88,783,1
360000,110011.2,752,1
440000,119999.76,728,1
150000,46416,815,1
453000,158899.92,790,1
393000,151000.2,770,1
250000,58239.96,712,1
232000,79999.92,812,1
153900,57179.88,766,1
332000,124800,772,1
225000,20304,768,1
250000,60407.64,731,1
375000,44600.52,787,1
442000,129375,773,1
168000,89739,732,1
410400,148701.84,806,1
127000,28800,789,1
270000,75619.2,738,1
270000,69579.12,786,1
261400,99999.96,798,1
423700,119999.88,765,1
444500,86406.24,787,1
64200,80496,749,1
272000,95000.04,770,1
213600,76330.08,789,1
243050,95600.16,804,1
257600,119999.88,731,1
187300,70782.36,802,1
232750,48339.24,779,1
231300,158604.72,786,1
217000,115699.44,719,1
341000,112826.28,709,1
448400,245086.56,732,1
600000,132833.88,749,1
150000,311848.44,789,1
436000,142500,772,1
185250,51775.2,719,1
260000,62128.56,762,1
304000,85781.28,753,1
191250,62056.8,751,1
380000,85890.96,731,1
453100,180544.08,790,1
246000,99111.96,763,1
137250,64221.72,749,1
182400,67999.92,761,1
392000,39011.88,788,1
716000,135165.72,780,1
325000,110446.08,731,1
256800,90080.88,747,1
235000,72755.64,759,1
165000,60807.96,769,1
400000,128535.12,784,1
345800,99999.96,719,1
118200,37268.04,782,1
171250,54245.52,742,1
165400,44600.52,802,1
300000,306266.4,785,1
420000,154922.4,780,1
300000,100682.88,799,1
334000,240857.64,783,1
346500,112456.2,807,1
401600,129375.24,797,1
252800,89300.88,748,1
220500,106083.12,798,1
298800,75000.12,787,1
645000,129583.68,805,1
245500,24097.44,732,1
266000,65000.04,715,1
414122,164856,717,1
274200,135200.04,772,1
230000,160000.08,716,1
245000,26598.84,812,1
198000,70321.2,771,1
499200,100842.72,785,1
165000,202005.96,774,1
329600,231661.44,800,1
131200,59139.6,740,1
292500,119999.88,770,1
246950,87000,792,1
200000,51999.96,739,1
226000,129960.48,789,1
271200,94399.92,793,1
452000,125599.92,788,1
294000,118781.04,774,1
150000,48499.92,771,1
307600,119520,735,1
440000,127476.36,808,1
268600,82374,796,1
142400,33891,731,1
240400,59580,726,1
300000,112898.04,740,1
385000,83310.96,730,1
221250,106418.88,723,1
200000,36663,714,1
223250,146764.8,787,1
349600,116739.12,752,1
1175000,157869,756,1
304000,140000.16,722,1
443200,87000,774,1
323900,118733.04,772,1
445000,85009.56,801,1
404250,160000.08,811,1
191250,125808,794,1
217500,98085.6,761,1
315000,88163.88,770,1
165000,125808,794,1
203000,98085.6,761,1
578400,154980,704,1
180000,125808,794,1
247000,88999.92,783,1
157500,125808,794,1
210000,204962.64,723,1
302400,139616.4,755,1
225250,21386.28,797,1
360000,164300.04,731,1
453100,42544.56,703,1
288000,95000.16,774,1
255900,71760,788,1
265600,87000,756,1
358000,52395.24,756,1
405000,94977.48,752,1
432000,179711.88,785,1
221250,301470.96,815,1
299376,53202.24,776,1
510000,129480.48,787,1
450000,115330.08,773,1
